区分,建築面積ベース不燃化率(%),延べ面積ベース不燃化率(%),,,,,,,,,,,,,
H19(2007),37.4,45.3,,,,,,,,,,,,,
H24(2012),35.6,42.7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
