区分,L-1／宅地構成比(%),L-2／その他構成比(%),L-3／公園等構成比(%),L-4／未利用地等構成比(%),L-5／道路等構成比(%),L-6／農用地構成比(%),L-7／水面構成比(%),L-8／森林構成比(%),L-9／原野構成比(%)
H19(2007),34.2,4.9,5.3,2.5,11.1,7.4,1.5,30.2,3
H24(2012),34.7,4.8,5.4,2.5,11.4,6.9,1.5,30,2.9
