地域,Area,平成19年(2007)（棟）,平成24年(2012)（棟）
八王子市,Hachioji,144628,148217
立川市,Tachikawa,38191,38081
武蔵野市,Musashino,27083,27228
三鷹市,Mitaka,37233,37995
青梅市,Ome,47274,46684
府中市,Fuchu,52557,52212
昭島市,Akishima,26671,26328
調布市,Chofu,41450,42581
町田市,Machida,109264,108159
小金井市,Koganei,25532,26508
小平市,Kodaira,43646,44504
日野市,Hino,42837,43147
東村山市,Higashimurayama,36428,37381
国分寺市,Kokubunji,28603,28661
国立市,Kunitachi,15545,16016
福生市,Fussa,15020,14996
狛江市,Komae,16391,16686
東大和市,Higashiyamato,19507,20039
清瀬市,Kiyose,16077,16476
東久留米市,Higashikurume,27099,27923
武蔵村山市,Musashimurayama,22358,22774
多摩市,Tama,20540,20554
稲城市,Inagi,15211,15764
羽村市,Hamura,15788,16053
あきる野市,Akiruno,36586,36255
西東京市,Nishitokyo,40981,42240
瑞穂町,Mizuho,15333,14890
日の出町,Hinode,9383,9200
