地域,Area,建築面積ベース不燃化率(%),延べ面積ベース不燃化率(%)
大島町,Oshima,27.6,33.7
利島村,Toshima,39.1,44.5
新島村,Niijima,46.4,52
神津島村,Kozushima,37.1,41.5
三宅村,Miyake,28.8,35.8
御蔵島村,Mikurajima,40.4,50.1
八丈町,Hachijo,32.8,40.9
青ヶ島村,Aogashima,70.4,76.5
小笠原村,Ogasawara,82.3,84.3
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
