区分,グロス平成19年(Gross2007)(%),グロス平成24年(Gross2012)(%),,,,,,,
八王子市Hachioji,19.8,20.9,,,,,,,
立川市Tachikawa,38.9,40.7,,,,,,,
武蔵野市Musashino,80.4,84.8,,,,,,,
三鷹市Mitaka,60.7,61.7,,,,,,,
青梅市Ome,9.5,9.8,,,,,,,
府中市Fuchu,47.7,50.0,,,,,,,
昭島市Akishima,39.4,40.4,,,,,,,
調布市Chofu,60.8,63.4,,,,,,,
町田市Machida,32.2,33.2,,,,,,,
小金井市Koganei,52.8,56.6,,,,,,,
小平市Kodaira,50.7,50.5,,,,,,,
日野市Hino,34.1,34.8,,,,,,,
東村山市Higashimurayama,42.6,44.4,,,,,,,
国分寺市Kokubunji,51.7,54.0,,,,,,,
国立市Kunitachi,57.1,59.7,,,,,,,
福生市Fussa,32.5,32.9,,,,,,,
狛江市Komae,65.5,65.7,,,,,,,
東大和市Higashiyamato,35.0,36.0,,,,,,,
清瀬市Kiyose,40.6,41.2,,,,,,,
東久留米市Higashikurume,50.3,50.9,,,,,,,
武蔵村山市Musashimurayama,30.0,31.4,,,,,,,
多摩市Tama,45.1,47.0,,,,,,,
稲城市Inagi,25.0,27.2,,,,,,,
羽村市Hamura,43.4,45.7,,,,,,,
あきる野市Akiruno,8.0,8.1,,,,,,,
西東京市Nishitokyo,59.8,62.9,,,,,,,
瑞穂町Mizuho,20.8,21.0,,,,,,,
日の出町Hinode,5.3,5.5,,,,,,,
