地域,Area,L-1／宅地構成比(%),L-2／その他構成比(%),L-3／公園等構成比(%),L-4／未利用地等構成比(%),L-5／道路等構成比(%),L-6／農用地構成比(%),L-7／水面構成比(%),L-8／森林構成比(%),L-9／原野構成比(%)
大島町,Oshima,5.2,1.1,1,0.2,3.2,4.3,0.1,64.1,20.9
利島村,Toshima,3.6,0.6,0.7,0.1,4.2,2.4,0,68,20.3
新島村,Niijima,4.5,3.1,1,0.5,3.6,3,0.1,70.5,13.7
神津島村,Kozushima,2.5,0.6,0.2,0.4,4.2,10.3,0.2,55,26.4
三宅村,Miyake,2.8,1.6,0.1,0.4,2.9,2.5,0.5,42.8,46.6
御蔵島村,Mikurajima,0.5,0.1,0.2,0,0.9,1.4,0,83.9,13
八丈町,Hachijo,5,0.5,0.9,1,4.4,12.1,0.1,71.7,4.3
青ヶ島村,Aogashima,2.1,1,0.2,0.9,2.1,9.9,0,56.9,26.8
小笠原村,Ogasawara,1.6,0.8,0.5,0.2,1.3,1.6,0.2,82,11.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
