区分,建ぺい率ネットNet(%)
BP-1／官公庁,20.1
BP-2／教育文化施設,14.8
BP-3／厚生医療施設,27.3
BP-4／供給処理施設,13.7
BC-1／事務所建築物,29
BC-2／専用商業施設,25.8
BC-3／住商併用施設,40.6
BC-4／宿泊・遊興施設,29.1
BC-5／スポーツ・興行施設,3.9
BR-1／独立住宅,26.1
BR-2／集合住宅,29.8
BI-1／専用工場,23.5
BI-2／住居併用工場,32.8
BI-3／倉庫運輸関係施設,21.8
BA／農林漁業施設,21.7
