区分,建ぺい率グロスGross(%),建ぺい率ネットNet(%),,,,,,,,,,,,,
H19(2007),0.9,22.7,,,,,,,,,,,,,
H24(2012),0.9,24.7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
