区分,L-1／宅地構成比(%),L-2／その他構成比(%),L-3／公園等構成比(%),L-4／未利用地等構成比(%),L-5／道路等構成比(%),L-6／農用地構成比(%),L-7／水面構成比(%),L-8／森林構成比(%),L-9／原野構成比(%)
H19(2007),3.8,0.8,0.6,0.3,2.9,6,0.1,71.5,14.1
H24(2012),3.7,1.1,0.6,0.4,3.1,5.4,0.2,65.6,19.9
,,,,,,,,,
,,,,,,,,,
