区分,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%),,,,,,,,,,,
H19(2007),31.0,16.8,26.8,25.4,,,,,,,,,,,
H24(2012),31.0,15.7,28.5,24.8,,,,,,,,,,,
