区分,容積率グロスGross(%),容積率ネットNet(%),,,,,,,,,,,,,
H19(2007),0.3,40.0,,,,,,,,,,,,,
H24(2014),0.3,40.8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
