地域,Area,平成19年（2007）（ｍ2）,平成24年（2012）（ｍ2）
八王子市,Hachioji,307.6,310.2
立川市,Tachikawa,293.4,296.3
武蔵野市,Musashino,267.5,267.9
三鷹市,Mitaka,272.2,270
青梅市,Ome,308.6,314.5
府中市,Fuchu,298.6,302.7
昭島市,Akishima,306.6,312.3
調布市,Chofu,271.9,272.9
町田市,Machida,282.3,292.9
小金井市,Koganei,268.3,265.6
小平市,Kodaira,280.5,272.6
日野市,Hino,281.8,281.8
東村山市,Higashimurayama,258.1,254.7
国分寺市,Kokubunji,234.3,237.6
国立市,Kunitachi,314.1,308.1
福生市,Fussa,246.8,248.6
狛江市,Komae,221.1,220
東大和市,Higashiyamato,277.4,275
清瀬市,Kiyose,303.9,296.7
東久留米市,Higashikurume,252.9,247
武蔵村山市,Musashimurayama,281.2,284.7
多摩市,Tama,432.5,437.1
稲城市,Inagi,325.6,327.2
羽村市,Hamura,354.6,354
あきる野市,Akiruno,259.8,262.9
西東京市,Nishitokyo,227.2,225.9
瑞穂町,Mizuho,335.7,348.4
日の出町,Hinode,340.9,357.8
