地域,Area,平成19年グロスGross容積率(%),平成19年ネットNet容積率(%)
西多摩,W-Tama,5.1,66.1
南多摩,S-Tama,25.7,82.3
北多摩西部,NW-Tama,40.2,84.8
北多摩南部,NS-Tama,58.3,102
北多摩北部,NN-Tama,49.4,88.6
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
