区分,森林(%),原野(%),宅地(%),その他(%),公園等(%),未利用地等(%),道路等(%),農用地(%),水面等(%)
平成19年度,71.5,14.1,3.8,0.8,0.6,0.3,2.9,6,0.1
平成24年度,65.6,19.9,3.7,1.1,0.6,0.4,3.1,5.4,0.2
