地域,Area,平成19年（2007）中高層化率構成比(%),平成19年（2012）中高層化率構成比(%)
八王子市,Hachioji,13.4,13.9
立川市,Tachikawa,18.3,19.6
武蔵野市,Musashino,19.4,20.3
三鷹市,Mitaka,13.5,13.8
青梅市,Ome,6.8,7.2
府中市,Fuchu,15.5,16.6
昭島市,Akishima,13.3,14.2
調布市,Chofu,17.5,19
町田市,Machida,11.4,11.6
小金井市,Koganei,10.2,11.8
小平市,Kodaira,13.4,13.6
日野市,Hino,12.5,12.1
東村山市,Higashimurayama,12.4,12.8
国分寺市,Kokubunji,11.5,12.1
国立市,Kunitachi,16.6,17
福生市,Fussa,9.5,11.8
狛江市,Komae,11.7,11.7
東大和市,Higashiyamato,12.6,12.8
清瀬市,Kiyose,16.4,16.1
東久留米市,Higashikurume,11.9,11.5
武蔵村山市,Musashimurayama,9.4,10.3
多摩市,Tama,33.4,34.1
稲城市,Inagi,15.9,16.9
羽村市,Hamura,8.6,10.7
あきる野市,Akiruno,3.5,3.4
西東京市,Nishitokyo,14.1,14.8
瑞穂町,Mizuho,4.8,5
日の出町,Hinode,2,2
