区分,BP／公共構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
H19(2007),16.4,10.1,64.6,7.9,1
H24(2012),16.3,10.1,65.2,7.5,0.9
