区分,容積率ネットNet(%)
BP-1／官公庁,34.2
BP-2／教育文化施設,23.7
BP-3／厚生医療施設,38.1
BP-4／供給処理施設,19.6
BC-1／事務所建築物,45.2
BC-2／専用商業施設,33.1
BC-3／住商併用施設,59.3
BC-4／宿泊・遊興施設,46.7
BC-5／スポーツ・興行施設,4
BR-1／独立住宅,30.3
BR-2／集合住宅,57.2
BI-1／専用工場,27.6
BI-2／住居併用工場,47.9
BI-3／倉庫運輸関係施設,25
BA／農林漁業施設,23.4
