地域,Area,容積率グロスGross(%),容積率ネットNet(%)
大島町,Oshima,1.4,26.6
利島村,Toshima,1.2,34.1
新島村,Niijima,2,43.9
神津島村,Kozushima,1.4,53.6
三宅村,Miyake,0.8,30.8
御蔵島村,Mikurajima,0.2,40.8
八丈町,Hachijo,1.7,33.5
青ヶ島村,Aogashima,0.6,26.3
小笠原村,Ogasawara,0.6,36.5
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
