地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
八王子市,Hachioji,0.6,7.7,2.3,1.1,2.7,4.5,4.4,0.5,0.3,52,15.1,5,0.9,2.3,0.5
立川市,Tachikawa,2.4,6.2,1.8,0.7,5.6,4,4.4,0.6,0.9,41.9,21,3.4,0.5,5.8,0.7
武蔵野市,Musashino,0.6,7.3,1.8,0.3,3.6,3.1,5.4,0.4,0.7,44,29.8,1.3,0.4,0.9,0.2
三鷹市,Mitaka,1.3,6.7,2.2,0.4,2.3,2.8,4.1,0.1,0.3,46.9,27.4,3,0.5,1.8,0.3
青梅市,Ome,0.7,5.6,3.5,0.4,2.1,3.8,3.8,0.8,0.4,55,8.8,10.3,1,2.7,0.9
府中市,Fuchu,1.8,6.9,2.6,1,2.6,2.7,3.4,0.2,2.3,40.8,22.9,9.4,0.4,2.5,0.5
昭島市,Akishima,0.5,5,2,6.1,2.4,3.4,4.5,0.9,1,40.8,17.2,10.4,0.7,4.9,0.2
調布市,Chofu,0.5,8.6,1.9,0.4,2.3,3.1,4.8,0.2,1.5,42.6,28.7,2.5,0.6,1.9,0.5
町田市,Machida,0.4,6.3,1.7,0.6,1.7,4.5,3.1,0.3,0.5,60.4,16.1,1.9,0.3,1.8,0.3
小金井市,Koganei,0.4,10.3,1.5,0.2,1.2,2.3,3.9,0.1,0.4,51.4,26.6,0.6,0.2,0.8,0.2
小平市,Kodaira,0.4,7.9,1.9,0.4,1.2,3.2,4.1,0.2,0.4,50.6,21.1,6.7,0.4,1.3,0.1
日野市,Hino,0.4,5.9,2,0.7,1.6,2.1,2.8,0.1,0.8,53,19.9,9.1,0.3,1.2,0.2
東村山市,Higashimurayama,0.6,5.4,4.6,1,1.6,3.2,4,0.5,0.3,53.1,18.4,2.9,0.5,3.2,0.7
国分寺市,Kokubunji,0.5,6.7,1.5,0.2,1.6,2.3,3.9,0.4,0.4,57.5,22.6,0.6,0.3,1,0.6
国立市,Kunitachi,0.7,9.2,1.9,3,2.4,3,5.4,0.3,0.3,46.2,23.2,0.9,0.5,2.8,0.2
福生市,Fussa,1.1,5.3,2.1,0.3,2,5,6.4,1.1,0.8,47.4,21.2,4,0.7,2.4,0.5
狛江市,Komae,0.5,4.9,1.7,0.2,1.2,1.3,4.5,0,0.5,52.7,29,1,0.6,1.5,0.4
東大和市,Higashiyamato,0.5,5.1,1.9,0.3,5.8,1.7,5.2,0.5,0.5,53,17.2,4.4,0.6,2.5,0.9
清瀬市,Kiyose,0.9,9.6,1.5,6,0.9,1.8,4.5,0.2,0.4,46.5,21.2,1.7,0.5,1.2,2.9
東久留米市,Higashikurume,0.4,6.1,1.5,0.8,1.5,4.4,4.3,0.1,0.5,53.2,18.6,4.6,0.6,1.7,1.7
武蔵村山市,Musashimurayama,0.3,5.2,2.4,0.2,6.4,1.5,3.7,0.8,0.4,52.9,10,9.2,0.6,5.8,0.5
多摩市,Tama,0.6,9,3.3,1.4,5.6,5,2.6,0.9,0.8,37,30.5,1,0.2,2.1,0.2
稲城市,Inagi,0.5,7.2,2.3,1.9,2.4,5,3.9,0.2,0.4,43.8,23,4.7,0.6,3.2,0.9
羽村市,Hamura,0.5,3.6,1.7,1,1.5,3.9,3.1,0.3,0.4,40.1,11.8,27.5,0.2,3.5,1
あきる野市,Akiruno,0.7,5.7,2.1,0.4,1.4,3.6,4.2,1.2,0.9,64.9,5.5,5.3,0.6,1.4,2
西東京市,Nishitokyo,0.4,5.7,2,0.3,1.7,2.8,4.7,0.3,0.5,52,25.7,1.6,0.4,1.5,0.4
瑞穂町,Mizuho,0.4,2.7,1.5,0.7,6.4,2.7,1.3,0.5,5.1,37.9,5.1,23.3,1.4,9.7,4.7
日の出町,Hinode,0.8,4.4,5.2,1.3,2.4,4.8,1.7,0.4,0.1,53.8,2.7,12.8,0.4,4.4,4.9
