区分,建ぺい率グロスGross(%),建ぺい率ネットNet(%),,,,,,,,,,,,,
H19(2007),0.2,26.0,,,,,,,,,,,,,
H24(2014),0.2,26.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
