区分,AL-1／田構成比(%),AL-2／畑構成比(%),AL-3／樹園地構成比(%),AL-4／採草地構成比(%),,,,,,,,,,,
H19(2007),8.1,58.9,32.4,0.6,,,,,,,,,,,
H24(2012),7.9,59.2,32.2,0.6,,,,,,,,,,,
