地域,Area,L-1／宅地構成比(%),L-2／その他構成比(%),L-3／公園等構成比(%),L-4／未利用地等構成比(%),L-5／道路等構成比(%),L-6／農用地構成比(%),L-7／水面構成比(%),L-8／森林構成比(%),L-9／原野構成比(%)
八王子市,Hachioji,24.7,3.3,4.9,2.4,9.5,4.7,1.2,45.9,3.4
立川市,Tachikawa,46.4,11.4,7.3,5,15.1,11.4,0.8,1.7,1
武蔵野市,Musashino,67.8,3.9,6.3,1.7,16.5,3.3,0.6,0.1,0
三鷹市,Mitaka,62.3,3.7,4.3,2.4,15.2,10.2,1.2,0.6,1
青梅市,Ome,14.2,3.2,3,1.2,5.2,5,1.3,65.4,1.5
府中市,Fuchu,53.9,5.3,9.3,2.1,17.1,5.1,1.6,0.5,5
昭島市,Akishima,48,4.2,9.7,5.3,14.4,4.7,3.1,2.1,8.5
調布市,Chofu,53.8,4.3,8.9,1.7,16.9,7.1,2.2,2,3
町田市,Machida,44.2,3.5,5.4,3.3,14.2,7.2,1,17.9,3.3
小金井市,Koganei,62.2,2.8,8.7,1.2,16.1,6.7,1.1,0.9,0.2
小平市,Kodaira,59.3,4.3,7.5,1.5,15.1,10.1,0.4,1.7,0.1
日野市,Hino,44.3,3.8,5.3,4.1,16.2,6.1,3.1,6.7,10.4
東村山市,Higashimurayama,55.5,4.4,5.8,1.6,15.4,10.4,1,4.7,1.3
国分寺市,Kokubunji,59,4.4,2.8,1.9,15.4,13.7,0.2,2.4,0.3
国立市,Kunitachi,60.5,5.2,2.5,2,18.4,7.3,1.1,0.8,2.2
福生市,Fussa,36.6,36.5,4,1.1,13.4,1.9,1.1,1.9,3.5
狛江市,Komae,57.1,4.5,3.7,2.1,16.7,6.4,2.9,1.1,5.5
東大和市,Higashiyamato,40.7,4.2,6.6,2.5,14,6,11.2,14.5,0.2
清瀬市,Kiyose,48.3,3.6,2.8,2.4,14.7,21.9,0.8,3.7,1.7
東久留米市,Higashikurume,53.5,5.1,3.9,2.7,16.4,14.3,0.6,2.8,0.6
武蔵村山市,Musashimurayama,42,10.3,2.5,5.1,11.6,13.9,0.7,13.4,0.5
多摩市,Tama,42.6,3.4,14.2,3.7,19.2,2.1,1.9,6.7,6.3
稲城市,Inagi,28.7,10.4,15.1,6.9,13.2,8.3,1.5,11.9,4
羽村市,Hamura,57.1,9.1,4.3,1.4,14.9,4.5,2.4,1.8,4.5
あきる野市,Akiruno,13,2.1,3.9,1.7,4.9,6.7,1.9,62.1,3.7
西東京市,Nishitokyo,60,4.7,4.5,2.2,16.6,10.8,0.3,0.9,0.1
瑞穂町,Mizuho,30.8,17.7,2.3,2.5,10,16.6,0.3,19.3,0.5
日の出町,Hinode,11.7,3,1.2,1.7,3.9,5,0.9,70.7,2
