地域,Area,AL-1／田構成比(%),AL-2／畑構成比(%),AL-3／樹園地構成比(%),AL-4／採草地構成比(%)
八王子市,Hachioji,8.7,65.2,25.5,0.6
立川市,Tachikawa,0.3,72,27.3,0.3
武蔵野市,Musashino,0,75.5,24.5,0
三鷹市,Mitaka,0.2,80.8,19,0
青梅市,Ome,5.1,50.4,42.8,1.6
府中市,Fuchu,16.9,64.6,18.5,0.1
昭島市,Akishima,11.9,66.1,22.1,0
調布市,Chofu,1.9,60.9,37.1,0
町田市,Machida,8.3,73.4,18.1,0.2
小金井市,Koganei,0,52.7,46.9,0.5
小平市,Kodaira,0,65.8,34.2,0
日野市,Hino,7.2,71.4,21.4,0
東村山市,Higashimurayama,0.8,76.3,22.9,0
国分寺市,Kokubunji,0,87.1,12.9,0
国立市,Kunitachi,11.6,77.6,10.8,0
福生市,Fussa,0.8,71.9,27.2,0
狛江市,Komae,0,84.6,15.4,0
東大和市,Higashiyamato,0,63.5,36.5,0.1
清瀬市,Kiyose,0,92.6,7.4,0
東久留米市,Higashikurume,0,74.5,25.5,0
武蔵村山市,Musashimurayama,0.4,70.8,28.6,0.2
多摩市,Tama,5.4,72.9,21.6,0
稲城市,Inagi,9.6,45.3,45.1,0
羽村市,Hamura,9.8,73.7,16.5,0.1
あきる野市,Akiruno,8.5,57.9,33.6,0
西東京市,Nishitokyo,0,84.5,15.5,0
瑞穂町,Mizuho,0,62.6,37.2,0.2
日の出町,Hinode,2.1,64.6,33.3,0
