区分,Area,合計(ha),L-1／宅地(ha),L-2／その他(ha),L-2／（屋外利用地）／内数(ha),L-3／公園、運動場等(ha),L-4／未利用地等(ha),L-5／道路等(ha),L-5／（道路）／内数(ha),L-6／農用地(ha),L-7／水面・河川・水路(ha),L-8／森林(ha),L-9／原野(ha)
全域（H24）,All area(2012),33072.2,274.1,208.7,39.7,27,21.2,241.3,233.9,253.7,550.7,31396.8,98.8
全域（H19）,All area(2007),33061.9,272.5,203.5,38.1,25.2,18.3,222.1,213,259.1,550.8,31416.6,93.9
檜原村,Hinohara,10537.9,98.5,42.2,12.6,4.6,6.4,88.3,88.3,156.6,50.7,10025.9,64.7
奥多摩町,Okutama,22534.3,175.6,166.5,27.1,22.4,14.8,152.9,145.6,97,500.1,21370.9,34
