区分,公共施設（棟）,公共施設構成比(%),商業施設（棟）,商業施設構成比(%),住宅（棟）,住宅構成比(%),工業施設（棟）,工業施設構成比(%),農業施設（棟）,農業施設構成比(%),合計（棟）,合計構成比(%)
平成19年,30284,3.1,77234,7.8,832960,84.4,36647,3.7,9782,1.0,986907,100.0
平成24年,27998,2.8,72627,7.3,856575,85.9,31991,3.2,8361,0.8,997552,100.0
