地域,Area,BP／公共構成比(%),BC／商業構成比(%),BR／住宅構成比(%),BI／工業構成比(%),BA／農業構成比(%)
大島町,Oshima,22.7,13,55.6,5.5,3.1
利島村,Toshima,32.7,9,41.2,13.6,3.5
新島村,Niijima,18.3,16.7,45.2,13.4,6.4
神津島村,Kozushima,21.6,19.4,40.9,15.4,2.7
三宅村,Miyake,16.6,12,54.5,10.9,6.1
御蔵島村,Mikurajima,22.4,10.8,44,10.2,12.6
八丈町,Hachijo,12.9,16.2,59.4,7.2,4.3
青ヶ島村,Aogashima,38.8,7.1,26.9,19.2,7.9
小笠原村,Ogasawara,29.2,17.2,27.1,12.6,14
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
