地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
大島町,Oshima,3.2,15.1,2.2,2.1,0.9,2.9,3,5.6,0.7,53.6,2.1,2.3,0.5,2.8,3.1
利島村,Toshima,2.2,12,6.5,12,1.5,0.8,0.8,4.2,1.7,33.6,7.5,5,0,8.6,3.5
新島村,Niijima,4.1,9.7,2.5,2.1,1.2,1.1,6.9,7.5,0.1,42,3.2,8.4,0.9,4,6.4
神津島村,Kozushima,2.1,12.7,2.5,4.2,1.6,2.9,5,9.8,0.2,36.6,4.4,4.3,2.2,8.9,2.7
三宅村,Miyake,3.6,8.5,2.6,1.8,1.3,1.1,3.6,5.9,0.1,49.3,5.2,5.5,0.4,5,6.1
御蔵島村,Mikurajima,3.1,10,2.9,6.5,2.2,0.1,2.4,5.8,0.2,34.5,9.5,3.4,0.1,6.7,12.6
八丈町,Hachijo,2.2,6.9,1.7,2.1,1.4,2.3,3.7,8.8,0,55.4,4,2.1,0.6,4.5,4.3
青ヶ島村,Aogashima,2.1,7.9,3.9,24.9,0.9,0.5,1.8,4,0,16.6,10.3,7.9,7.9,3.5,7.9
小笠原村,Ogasawara,6.6,12.5,1.8,8.3,4.4,1.6,2.1,6.7,2.5,10.8,16.2,2.9,0.1,9.6,14
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
