地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
西多摩,W-Tama,0.8,5.5,3.2,0.5,2.3,3.7,4.1,1.2,0.7,46.1,14.5,12.1,0.8,3.3,1.2
南多摩,S-Tama,0.6,8.3,2.4,0.9,3,4.1,3.8,0.6,0.5,40.8,28.8,3.6,0.5,1.8,0.3
北多摩西部,NW-Tama,0.9,6.9,2,0.8,3.3,4.7,5.1,0.8,0.5,38.3,27.6,4.6,0.5,3.7,0.3
北多摩南部,NS-Tama,1,8.2,2.4,0.4,3.2,2.7,4.9,0.3,1.2,33.5,36.4,3.7,0.4,1.5,0.2
北多摩北部,NN-Tama,0.6,7.3,3,0.8,1.5,2.7,4.7,0.3,0.5,39.7,32.8,3.7,0.5,1.5,0.5
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
