地域,Area,グロスGross（棟/ha）,ネットNet（棟/ha）
八王子市,Hachioji,7.9,32.2
立川市,Tachikawa,15.6,33.8
武蔵野市,Musashino,25.3,37.3
三鷹市,Mitaka,23.1,37
青梅市,Ome,4.5,31.8
府中市,Fuchu,17.8,33
昭島市,Akishima,15.4,32
調布市,Chofu,19.7,36.6
町田市,Machida,15.1,34.1
小金井市,Koganei,23.4,37.6
小平市,Kodaira,21.8,36.7
日野市,Hino,15.7,35.5
東村山市,Higashimurayama,21.8,39.3
国分寺市,Kokubunji,24.8,42.1
国立市,Kunitachi,19.6,32.5
福生市,Fussa,14.7,40.2
狛江市,Komae,26,45.5
東大和市,Higashiyamato,14.8,36.4
清瀬市,Kiyose,16.3,33.7
東久留米市,Higashikurume,21.7,40.5
武蔵村山市,Musashimurayama,14.8,35.1
多摩市,Tama,9.8,22.9
稲城市,Inagi,8.8,30.6
羽村市,Hamura,16.1,28.2
あきる野市,Akiruno,4.9,38
西東京市,Nishitokyo,26.6,44.3
瑞穂町,Mizuho,8.8,28.7
日の出町,Hinode,3.3,27.9
