区分,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%),,,,,,,,,,,
H19(2007),46.7,12.3,23.6,17.3,,,,,,,,,,,
H24(2012),46.8,11.6,24.9,16.6,,,,,,,,,,,
