地域,Area,平成19年(2007)不燃化率（延べ面積ベース）構成比(%),平成24年(2012)不燃化率（延べ面積ベース）構成比(%)
八王子市,Hachioji,56.1,56.4
立川市,Tachikawa,67.2,67.7
武蔵野市,Musashino,66.1,67.2
三鷹市,Mitaka,57.6,57.8
青梅市,Ome,46,46.3
府中市,Fuchu,61.8,63.1
昭島市,Akishima,70.5,70.9
調布市,Chofu,64,64.6
町田市,Machida,51.8,53.8
小金井市,Koganei,49.1,50.7
小平市,Kodaira,60.2,62.1
日野市,Hino,53.5,52.1
東村山市,Higashimurayama,59.8,58.9
国分寺市,Kokubunji,46.6,51.1
国立市,Kunitachi,60.2,61.1
福生市,Fussa,55.2,55.5
狛江市,Komae,48.1,47
東大和市,Higashiyamato,55.5,59
清瀬市,Kiyose,57.2,56.3
東久留米市,Higashikurume,54.3,53.1
武蔵村山市,Musashimurayama,49.2,52.2
多摩市,Tama,77.5,79.2
稲城市,Inagi,64,65.4
羽村市,Hamura,62.2,65.3
あきる野市,Akiruno,32.8,31.1
西東京市,Nishitokyo,55.7,56.4
瑞穂町,Mizuho,58.5,59.4
日の出町,Hinode,37.8,37.4
