区分,ネット平成19年(Net2007)構成比(%),ネット平成24年(Net2012)構成比(%)
BP-1／官公庁施設,69.2,73.1
BP-2／教育文化施設,55.6,55.7
BP-3／厚生医療施設,98.6,102.2
BP-4／供給処理施設,35.5,36.5
BC-1／事務所建築物,113.5,113.7
BC-2／専用商業施設,90,87.7
BC-3／住商併用施設,118.9,124.2
BC-4／宿泊・遊興施設,115,116.2
BC-5／スポーツ・興行施設,60.1,54.8
BR-1／独立住宅,71.8,73.3
BR-2／集合住宅,138.1,142
BI-1／専用工場,82.2,82.4
BI-2／住居併用工場,87.2,88.5
BI-3／倉庫運輸関係施設,75.4,78.7
BA／農林漁業施設,35.2,33.9
