区分,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%),,,,,,,,,,,
H19(2007),9.1,10.8,28.3,51.8,,,,,,,,,,,
H24(2014),9.3,9.5,29.9,51.3,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
