地域,Area,グロス平成19年(Gross2007)(%),グロス平成24年(Gross2012)(%)
八王子市,Hachioji,8.8,9.1
立川市,Tachikawa,18.7,18.8
武蔵野市,Musashino,29.7,30.5
三鷹市,Mitaka,25.6,25.6
青梅市,Ome,5.1,5.2
府中市,Fuchu,22.1,22.2
昭島市,Akishima,18.5,18.6
調布市,Chofu,23.7,24.1
町田市,Machida,15.8,15.9
小金井市,Koganei,23.8,24.7
小平市,Kodaira,22.7,22.2
日野市,Hino,17.3,17.3
東村山市,Higashimurayama,21,21.3
国分寺市,Kokubunji,23.8,24.3
国立市,Kunitachi,22.8,23.6
福生市,Fussa,15.5,15.5
狛江市,Komae,27.4,27.3
東大和市,Higashiyamato,15.7,15.7
清瀬市,Kiyose,17.9,17.9
東久留米市,Higashikurume,21.7,21.9
武蔵村山市,Musashimurayama,15.4,15.8
多摩市,Tama,15.1,15.6
稲城市,Inagi,10.4,11
羽村市,Hamura,22.3,22.6
あきる野市,Akiruno,4.6,4.6
西東京市,Nishitokyo,25.1,25.6
瑞穂町,Mizuho,11.8,11.8
日の出町,Hinode,3.4,3.4
