区分,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%),,,,,,,,,,,
H19(2007),29.0,16.4,45.2,9.4,,,,,,,,,,,
H24(2012),29.2,16.7,45.9,8.1,,,,,,,,,,,
