地域,Area,平成19年(2007)不燃化率（建築面積ベース）構成比(%),平成24年(2012)不燃化率（建築面積ベース）構成比(%)
八王子市,Hachioji,42.4,42.1
立川市,Tachikawa,59,58.9
武蔵野市,Musashino,49.9,50.6
三鷹市,Mitaka,44.7,44.8
青梅市,Ome,36.8,36.7
府中市,Fuchu,52.1,52.6
昭島市,Akishima,61.9,62.2
調布市,Chofu,48.5,48.7
町田市,Machida,42.4,43.9
小金井市,Koganei,37.1,37.7
小平市,Kodaira,49.5,51.7
日野市,Hino,45.6,44.3
東村山市,Higashimurayama,53.1,51.8
国分寺市,Kokubunji,34.9,39.8
国立市,Kunitachi,46.7,47.9
福生市,Fussa,42.5,42.9
狛江市,Komae,34.9,33.7
東大和市,Higashiyamato,42,45.5
清瀬市,Kiyose,43.6,42.5
東久留米市,Higashikurume,41.3,40.2
武蔵村山市,Musashimurayama,41.7,44.1
多摩市,Tama,62.3,65.5
稲城市,Inagi,49.1,50.1
羽村市,Hamura,55.7,58.2
あきる野市,Akiruno,28.1,26.5
西東京市,Nishitokyo,40.2,40.2
瑞穂町,Mizuho,53.2,54.4
日の出町,Hinode,34.7,34.3
