区分,容積率グロスGross(%),容積率ネットNet(%),,,,,,,,,,,,,
H19(2007),1.1,30,,,,,,,,,,,,,
H24(2012),1.2,32.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
