地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
八王子市,Hachioji,0.7,13,2.3,1.7,2.6,3.9,3.3,0.5,0.4,48.7,14.7,4.3,0.7,2.5,0.7
立川市,Tachikawa,3.4,10,1.8,1.2,3.4,4.9,3.3,0.4,0.9,41.2,20.5,2.7,0.4,4.2,1.6
武蔵野市,Musashino,0.8,11.2,1.7,3.2,3.4,2.3,4,0.3,0.6,42.2,27.9,1.1,0.3,0.8,0.3
三鷹市,Mitaka,3.7,13.3,2.1,0.8,1.9,2.6,3,0,0.3,41.9,24.9,3.1,0.4,1.6,0.4
青梅市,Ome,0.7,11.1,3.9,1,1.8,3.7,2.8,0.7,0.5,53.4,7.8,8.5,0.7,2.5,0.9
府中市,Fuchu,2.3,11.9,2.4,1.5,2.5,2.2,2.5,0.1,5.6,37,20.8,8.3,0.3,2.1,0.5
昭島市,Akishima,0.6,8.5,1.8,3.3,3.1,6.1,3.5,0.8,1.6,38.9,16.9,9.5,0.5,4.7,0.3
調布市,Chofu,0.5,13.1,2,0.6,1.9,2.8,3.6,0.1,3.1,40.1,27.4,2.2,0.4,4.6,0.5
町田市,Machida,0.5,10.2,1.6,1,1.7,4,2.4,0.2,0.5,56.3,17,1.8,0.3,1.8,0.6
小金井市,Koganei,0.9,17.8,1.4,0.8,1,1.9,3,0.1,0.5,46.8,23.9,0.5,0.1,0.8,0.3
小平市,Kodaira,0.5,14.5,3.1,0.8,1.2,3.4,3,0.2,0.7,45.1,19.6,5.7,0.3,1.6,0.2
日野市,Hino,0.4,10.3,1.9,1.1,1.5,2,2.2,0,1.1,50.2,20.1,7.3,0.2,1.3,0.3
東村山市,Higashimurayama,0.8,8.9,4.6,3.3,1.6,3.2,3.1,0.4,0.5,49.1,18.3,2.3,0.4,2.7,0.8
国分寺市,Kokubunji,0.6,13.1,1.5,0.4,1.4,2.3,3,0.3,0.4,54.2,20.4,0.6,0.2,0.8,0.8
国立市,Kunitachi,0.9,18.2,1.7,3.8,2,2.3,4,0.2,0.2,41,21,0.7,0.4,3.2,0.3
福生市,Fussa,1.1,8.4,2.1,0.5,1.8,4.5,2,0.9,0.6,47.1,21.3,3.3,0.5,2.3,0.7
狛江市,Komae,0.5,8.6,1.8,0.3,1.1,1.1,3.6,0,0.5,51.5,27.6,0.9,0.5,1.5,0.5
東大和市,Higashiyamato,0.8,8.5,1.8,0.4,5.4,1.7,3.9,0.5,0.7,49.9,18.1,4.3,0.4,1.9,1.5
清瀬市,Kiyose,0.8,15.4,7.1,4,0.9,1.7,3.1,0.1,0.5,39.1,21.4,1.2,0.3,1.2,3
東久留米市,Higashikurume,0.4,10.5,1.4,1.2,1.5,4.2,3.2,0.1,0.4,47.7,20.7,3.6,0.5,1.7,3
武蔵村山市,Musashimurayama,0.3,8.2,2.9,1.2,1.6,7.6,2.9,0.6,0.3,50.3,11.2,6.9,0.5,4.9,0.5
多摩市,Tama,0.6,16.3,3.3,1.8,4.9,3.6,1.8,0.5,0.6,33,30.7,0.8,0.1,1.8,0.3
稲城市,Inagi,0.4,10.5,2.2,3.2,2.2,4.6,3.1,0.2,0.5,40.7,23.6,4,0.5,3.3,1.1
羽村市,Hamura,0.4,5.7,1.7,2.3,2,4.3,2.4,0.3,1.4,39,11.1,24.8,0.2,3.1,1.3
あきる野市,Akiruno,0.8,9.1,2.2,0.7,1.7,3.3,3.3,1.7,0.9,62.1,5,5.1,0.5,1.6,2
西東京市,Nishitokyo,0.4,10,1.9,1,1.8,2.6,3.6,0.2,0.8,48.3,25.9,1.5,0.4,1.4,0.4
瑞穂町,Mizuho,0.5,4.7,1.6,1.5,1.8,7,2.3,1.6,0.5,38,5.3,19.9,1.2,8.6,5.5
日の出町,Hinode,0.9,6,4.5,11.4,1.9,5.3,1.3,0.4,0.2,45.2,2,10.9,0.2,4.3,5.5
