地域,Area,BP-1／官公庁施設構成比(%),BP-2／教育文化施設構成比(%),BP-3／厚生医療施設構成比(%),BP-4／供給処理施設構成比(%),BC-1／事務所建築物構成比(%),BC-2／専用商業施設構成比(%),BC-3／住商併用施設構成比(%),BC-4／宿泊・遊興施設構成比(%),BC-5／スポーツ・興行施設構成比(%),BR-1／独立住宅構成比(%),BR-2／集合住宅構成比(%),BI-1／専用工場構成比(%),BI-2／住居併用工場構成比(%),BI-3／倉庫運輸関係施設構成比(%),BA／農林漁業施設構成比(%)
八王子市,Hachioji,0.6,9,2.8,0.8,3.1,4.3,4.4,0.7,0.2,39.8,26.8,4.3,0.7,2.2,0.3
立川市,Tachikawa,3.4,6.7,1.9,0.6,5.4,5.9,4.5,0.9,0.8,34.2,27.2,2.9,0.4,4.9,0.4
武蔵野市,Musashino,0.8,7.8,1.9,0.3,5.9,4.8,5.8,0.8,0.8,29.5,39,1.6,0.3,0.8,0.1
三鷹市,Mitaka,1.2,6.7,3.3,0.3,3,2.5,4.4,0.1,0.2,36.1,37.2,2.9,0.5,1.4,0.1
青梅市,Ome,0.9,5.6,4.6,0.3,3.2,3.4,3.8,0.8,0.4,47.7,16.4,8.9,0.8,2.7,0.5
府中市,Fuchu,1.5,7.6,4.6,0.7,3.2,2.9,3.3,0.3,2,32.4,32,7.1,0.4,1.7,0.2
昭島市,Akishima,0.6,4.8,2.4,1.5,4.1,5.1,4.6,1.2,0.6,32.7,28.2,8.4,0.6,5.1,0.1
調布市,Chofu,0.6,8.9,1.9,0.4,2.9,3.1,5.2,0.2,1.5,29.4,41.5,2.3,0.5,1.4,0.2
町田市,Machida,0.4,7.3,2.1,0.6,1.9,4,3.5,0.4,0.6,50.9,24.8,1.6,0.3,1.6,0.2
小金井市,Koganei,0.5,11.9,1.7,0.2,1.2,2.4,4.2,0.2,0.5,40.4,35.5,0.4,0.1,0.8,0.1
小平市,Kodaira,0.6,8.4,2.1,0.3,1.3,2.4,4.7,0.2,0.4,40.7,31.8,5.9,0.3,0.8,0.1
日野市,Hino,0.5,6.4,2.2,0.6,1.7,1.7,3.1,0.1,0.6,46.5,26.6,8.5,0.3,0.9,0.1
東村山市,Higashimurayama,0.7,6,4.5,0.9,1.8,2.4,4.8,0.5,0.4,46.7,24.9,2.9,0.5,2.7,0.4
国分寺市,Kokubunji,0.5,7.5,1.8,0.2,2.1,2.5,5,0.5,0.3,47.2,30.7,0.5,0.3,0.9,0.3
国立市,Kunitachi,0.6,10.8,1.6,2.3,2.7,2.5,6.7,0.4,0.4,34.8,33.9,0.6,0.4,2.2,0.2
福生市,Fussa,1.2,4.9,2.6,0.1,2,4.7,6,1.3,0.8,37.7,33.7,2.5,0.6,1.7,0.3
狛江市,Komae,0.6,5,2.7,0.1,1.3,1.3,4.4,0,0.5,42.3,39.3,0.8,0.5,1,0.2
東大和市,Higashiyamato,0.4,4.9,2.4,0.2,1.8,4.2,4.8,0.5,0.4,40.8,32.4,4.3,0.4,2.1,0.5
清瀬市,Kiyose,0.9,10.1,7.4,2.1,0.9,1.3,5,0.2,0.4,36,31.8,1.2,0.4,0.8,1.5
東久留米市,Higashikurume,0.6,5.6,1.6,0.7,1.5,4.1,4.4,0.1,0.5,42.2,32.4,3.9,0.5,1.1,0.9
武蔵村山市,Musashimurayama,0.3,6.3,2.9,0.2,1.4,5.5,3.8,0.8,0.3,46.1,17.1,8.4,0.6,6,0.3
多摩市,Tama,0.5,8.3,3.3,1.1,6.6,5.5,2.6,0.8,0.5,22.9,45.2,0.7,0.1,1.8,0.1
稲城市,Inagi,0.5,5.9,2.3,2,2,3.9,5,0.1,0.3,31.3,40.9,3,0.4,1.9,0.4
羽村市,Hamura,0.6,4.3,2.1,1.1,2.1,2.9,3.3,0.4,0.4,34,19.6,24.6,0.2,4,0.6
あきる野市,Akiruno,1,6.4,2.8,0.4,1.5,3.4,4.3,1,1.4,61.7,7.4,5.8,0.6,1,1.3
西東京市,Nishitokyo,0.5,5.2,2.2,0.3,1.9,2.7,4.8,0.3,0.4,38.2,40.3,1.7,0.3,1.1,0.2
瑞穂町,Mizuho,0.4,2.9,1.8,0.8,1.6,6.3,2.6,2.1,0.6,34.8,8.3,22.3,1.5,11,3
日の出町,Hinode,0.9,4.4,7.5,1.4,2.7,3.2,1.8,0.3,0.1,54.5,3.3,13.2,0.4,3.3,3.2
