区分,用途
公共用地／官公庁施設,官公署及び出先機関、警察署及び派出所、消防署、郵便局、税務署、裁判所、大公使館
公共用地／教育文化施設,幼稚園、小学校、中学校、高等学校、大学、専修学校、各種専門学校、研修所、研究所、美術館、博物館、図書館、公会堂、寺社、教会、町内会館、自動車教習所
公共用地／厚生医療施設,病院、診療所、保健所、保育所、託児所、高齢者福祉施設、障害者福祉施設、児童福祉施設
公共用地／供給処理施設,上水道施設、電力供給施設（発電所、変電所）、都市ガス供給施設、卸売市場、ごみ焼却施設、廃棄物処理施設、下水道施設、と畜場、火葬場
商業用地／事務所建築物,事務所、営業店舗（銀行、証券会社等）、新聞社、放送局、NTT、計算センター、医師会館
商業用地／専用商業施設,専用商業施設（住宅を含まないもの）、デパート、スーパーマーケット、小売店舗、卸売店舗、ガソリンスタンド、飲食店、公衆浴場、サウナ
商業用地／住商併用施設,住居併用店舗、事務所（物販・飲食・美容理容等の店舗、問屋、税理・会計・司法・不動産・給排水・塗装・建築などの事務所）、住居併用作業所付店舗（豆腐・菓子・パン等の自家用製造販売）
商業用地／宿泊・遊興施設,ホテル、旅館、ユースホステル、バンケットを主とする会館、バー、キャバレー、ナイトクラブ、料亭、待合、ソープランド、モーテル、パチンコ店、麻雀屋、ビリヤード、ゲームセンター、カラオケボックス、ダンス教習所
商業用地／スポーツ・興行施設,（屋内又は観覧席を有するもの）体育館、競技場、野球場、水泳場、スケート場、ボウリング場、競馬競輪場等、劇場、演芸場、映画館、オーディトリアムを主体とする会館（民間主体のもの）
住宅用地／独立住宅,専用戸建住宅、住宅を主とする塾、教室、医院等の併用建築物
住宅用地／集合住宅,公団・公社・公営住宅、アパート、マンション、独身寮、寄宿舎、家族寮、長屋、テラスハウス、タウンハウス
工業用地／専用工場,右記の専用工場、専用作業所（工場、作業所、生コン工場、精米工場、自動車修理工場、洗濯作業を伴うクリーニング店）
工業用地／住居併用工場,右記の併用工場、作業所併用住宅（工場、作業所、生コン工場、精米工場、自動車修理工場、洗濯作業を伴うクリーニング店）
工業用地／倉庫・運輸関係施設,自動車車庫、駐輪場（ただし事務所・住宅に付属する車庫は含まない。）、パーキングビル、バスターミナル、トラックターミナル（上屋又は事務所を伴うもの）、バス・タクシー・トラック車庫、倉庫、屋根付き資材置場、流通センター、配送所
農業用地／農林漁業施設,温室、サイロ、畜舎、養魚場、その他農林漁業施設
屋外利用地、仮設建物,（屋外利用又は仮設利用のもの）材料置場、屋外駐車場、屋外展示場、飯場、プレハブ住宅展示場、中古車センター
公園、運動場等,（屋外利用を主とするもの）公園緑地、運動場、野球場、遊園地、ゴルフ場、ゴルフ練習場、釣り堀、バッティングセンター、ローラースケート場、テニスコート、屋外プール、馬術練習場、フィールドアスレチック、墓地
未利用地等,宅地で建物を伴わないもの、建築中で用途不明のもの、区画整理中の宅地、取壊し跡地、廃屋埋立地
道路,街路、歩行者道路、自転車道路、農道、林道、団地内通路
鉄道、港湾等,鉄道、軌道、モノレール、空港、港湾
農用地／農地／田,水稲、い草、蓮などかんがい施設を有し、たん水を必要とする作物を栽培する耕地
農用地／農地／畑,野菜、穀物、生花、苗木など草本性作物を栽培する畑
農用地／農地／樹園地,果樹園、茶、桑など木本性植物を集団的に栽培する畑
農用地／採草放牧地,牧場、牧草地など人手の入った草地
水面・河川・水路,河川、運河、湖沼、遊水池、海
林野／森林,樹林、竹林、はい松地、しの地、山地、竹木が集団的に生育する土地
林野／原野,野草地など小かん木類の生育する自然のままの土地、荒地、裸地
その他,自衛隊基地、在日米軍基地、火薬庫、採石場、ごみ捨場など
