区分,H24建ぺい率（ネット）(%)
BP-1／官公庁施設,30.9
BP-2／教育文化施設,19.3
BP-3／厚生医療施設,42.1
BP-4／供給処理施設,12.1
BC-1／事務所建築物,26.2
BC-2／専用商業施設,28.5
BC-3／住商併用施設,34.6
BC-4／宿泊・遊興施設,20.8
BC-5／スポーツ・興行施設,28.1
BR-1／独立住宅,27.2
BR-2／集合住宅,36.2
BI-1／専用工場,28.6
BI-2／住居併用工場,39.4
BI-3／倉庫運輸関係施設,23.7
BA／農林漁業施設,23.2
