地域,Area,ネットNet平成19年(Net2007)構成比(%),ネット平成24年(Net2012)構成比(%)
八王子市,Hachioji,83,84.9
立川市,Tachikawa,84.4,87.7
武蔵野市,Musashino,119.5,125.1
三鷹市,Mitaka,98.5,99
青梅市,Ome,67.3,69.1
府中市,Fuchu,89,92.6
昭島市,Akishima,82.7,84.2
調布市,Chofu,116.5,117.9
町田市,Machida,74.7,75.1
小金井市,Koganei,87.2,91
小平市,Kodaira,85,85.1
日野市,Hino,77.5,78.5
東村山市,Higashimurayama,77.7,79.9
国分寺市,Kokubunji,89,91.5
国立市,Kunitachi,95.4,98.7
福生市,Fussa,89.2,89.8
狛江市,Komae,116.1,115
東大和市,Higashiyamato,87.4,88.4
清瀬市,Kiyose,84.1,85.3
東久留米市,Higashikurume,94.7,95.3
武蔵村山市,Musashimurayama,73.5,74.8
多摩市,Tama,106.9,110.3
稲城市,Inagi,90.7,94.8
羽村市,Hamura,77.1,80
あきる野市,Akiruno,61.7,62.4
西東京市,Nishitokyo,102.3,104.8
瑞穂町,Mizuho,68.1,68.3
日の出町,Hinode,46.7,47.2
