地域,Area,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
八王子市,Hachioji,28.6,13.5,47.6,10.3
立川市,Tachikawa,38.6,20.2,35.1,6
武蔵野市,Musashino,39.2,11.4,43.8,5.6
三鷹市,Mitaka,29.5,15.3,47.3,7.9
青梅市,Ome,19.2,17.6,48.8,14.4
府中市,Fuchu,37.6,15,40.4,6.9
昭島市,Akishima,41.7,20.5,30,7.8
調布市,Chofu,36.9,11.8,44.8,6.5
町田市,Machida,21.8,22.2,48.4,7.6
小金井市,Koganei,27.9,9.8,54.4,7.9
小平市,Kodaira,23.3,28.5,41.3,7
日野市,Hino,27,17.3,50,5.7
東村山市,Higashimurayama,59.9,21.8,40.4,7.8
国分寺市,Kokubunji,25.7,14.1,52.8,7.4
国立市,Kunitachi,35.1,12.8,47,5.1
福生市,Fussa,25.1,17.8,47.4,9.8
狛江市,Komae,24.9,8.8,55.3,11
東大和市,Higashiyamato,27,18.4,45.1,9.4
清瀬市,Kiyose,34.7,7.8,44.4,13.1
東久留米市,Higashikurume,26.7,13.4,52.4,7.5
武蔵村山市,Musashimurayama,23.9,20.2,48,7.9
多摩市,Tama,50.9,14.6,31.1,3.4
稲城市,Inagi,37.4,12.8,37.1,12.7
羽村市,Hamura,25.2,33,33.8,8.1
あきる野市,Akiruno,14.6,11.9,55.6,17.9
西東京市,Nishitokyo,30.9,9.3,51.3,8.5
瑞穂町,Mizuho,26,28.4,33.9,11.8
日の出町,Hinode,14.4,19.8,40.4,25.4
