区分,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%),,,,,,,,,,,
H19(2007),44.1,13.2,36.9,5.9,,,,,,,,,,,
H24(2012),44.7,13.4,36.9,5,,,,,,,,,,,
