区分,建築面積ベース不燃化率(%),延べ面積ベース不燃化率(%),,,,,,,,,,,,,
H19(2007),19.9,22.6,,,,,,,,,,,,,
H24(2014),18.8,21.9,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
