区分,H24容積率（ネット）(%)
BP-1／官公庁,58.3
BP-2／教育文化施設,31.1
BP-3／厚生医療施設,95.5
BP-4／供給処理施設,16.5
BC-1／事務所建築物,38
BC-2／専用商業施設,41.8
BC-3／住商併用施設,57.3
BC-4／宿泊・遊興施設,33.2
BC-5／スポーツ・興行施設,42.6
BR-1／独立住宅,41.7
BR-2／集合住宅,80.1
BI-1／専用工場,38.1
BI-2／住居併用工場,63.3
BI-3／倉庫運輸関係施設,29.1
BA／農林漁業施設,24.4
