区分,平成19年（2007）中高層化率構成比(%),平成19年（2012）中高層化率構成比(%)
BP-1／官公庁施設,25.5,27.3
BP-2／教育文化施設,25.9,27.2
BP-3／厚生医療施設,30.7,31.6
BP-4／供給処理施設,12.5,14.3
BC-1／事務所建築物,32.3,34.1
BC-2／専用商業施設,16.8,17.2
BC-3／住商併用施設,13.9,15.5
BC-4／宿泊・遊興施設,25.9,30.2
BC-5／スポーツ・興行施設,21.9,22.6
BR-1／独立住宅,0,0
BR-2／集合住宅,39.8,40.8
BI-1／専用工場,9.2,10.5
BI-2／住居併用工場,1.3,1.5
BI-3／倉庫運輸関係施設,8,11.2
BA／農林漁業施設,0,0
