区分,ネット平成19年(Net2007)構成比(%),ネット平成24年(Net2012)構成比(%)
BP-1／官公庁施設,30,29.7
BP-2／教育文化施設,23.1,22.7
BP-3／厚生医療施設,37.9,37.8
BP-4／供給処理施設,19.4,19.4
BC-1／事務所建築物,42.1,41.2
BC-2／専用商業施設,43.1,41.7
BC-3／住商併用施設,51.6,51.5
BC-4／宿泊・遊興施設,45.4,44.1
BC-5／スポーツ・興行施設,29.2,26.4
BR-1／独立住宅,41,41.3
BR-2／集合住宅,40.6,40.6
BI-1／専用工場,45.5,44.4
BI-2／住居併用工場,49.1,49.1
BI-3／倉庫運輸関係施設,42.1,41.1
BA／農林漁業施設,30.8,29.5
