区分,宅地(%),その他(%),公園等(%),未利用地等(%),道路等(%),農用地(%),水面等(%),森林(%),原野(%)
平成19年度,34.2,4.9,5.3,2.5,11.1,7.4,1.5,30.2,3
平成24年度,34.7,4.8,5.4,2.5,11.4,6.9,1.5,30,2.9
