区分,AL-1／田構成比(%),AL-2／畑構成比(%),AL-3／樹園地構成比(%),AL-4／採草地構成比(%),,,,,,,,,,,
H19(2007),5.1,67.2,27.4,0.3,,,,,,,,,,,
H24(2012),4.8,67.6,27.3,0.3,,,,,,,,,,,
