区分,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%),,,,,,,,,,,
H19(2007),29.1,16.4,44.5,10.0,,,,,,,,,,,
H24(2012),29.3,16.7,45.2,8.8,,,,,,,,,,,
