区分,AL-1／田構成比(%),AL-2／畑構成比(%),AL-3／樹園地構成比(%),AL-4／採草地構成比(%),,,,,,,,,,,
H19(2007),3.9,70.4,25.5,0.2,,,,,,,,,,,
H24(2012),3.4,71.1,25.3,0.2,,,,,,,,,,,
