地域,Area,BS-1／耐火造構成比(%),BS-2／準耐火造構成比(%),BS-3／防火造構成比(%),BS-4／木造構成比(%)
八王子市,Hachioji,45.8,10.5,37.6,6
立川市,Tachikawa,50.4,17.3,28.8,3.6
武蔵野市,Musashino,59,8.2,29.7,3.1
三鷹市,Mitaka,45.1,12.7,37.1,5.1
青梅市,Ome,31,15.3,44.4,9.4
府中市,Fuchu,51.9,11.2,32.5,4.4
昭島市,Akishima,54.7,16.3,24.4,4.7
調布市,Chofu,55.8,8.8,31.7,3.7
町田市,Machida,34.1,19.7,41.2,4.9
小金井市,Koganei,42.4,8.3,44.1,5.2
小平市,Kodaira,38.3,23.8,33.6,4.3
日野市,Hino,37.3,14.8,43.9,4
東村山市,Higashimurayama,39.5,19.4,35.7,5.4
国分寺市,Kokubunji,39,12.1,43.9,5
国立市,Kunitachi,51.1,10.1,36,2.9
福生市,Fussa,40,15.5,38.8,5.7
狛江市,Komae,39.8,7.2,45.2,7.8
東大和市,Higashiyamato,44.5,14.5,35.4,5.6
清瀬市,Kiyose,50.5,5.8,35.1,8.6
東久留米市,Higashikurume,43.6,9.5,42.3,4.6
武蔵村山市,Musashimurayama,35.2,17,42.6,5.2
多摩市,Tama,69.7,9.4,19.2,1.7
稲城市,Inagi,56.5,8.9,27.4,7.2
羽村市,Hamura,39,26.3,29.6,5.2
あきる野市,Akiruno,20.9,10.4,55.3,13.4
西東京市,Nishitokyo,49.2,7.2,38.3,5.4
瑞穂町,Mizuho,35.2,24.2,32.4,8.2
日の出町,Hinode,19.7,17.6,42.9,19.7
