一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
41,港区白金台1-2,35.636738,139.730743,JGD2011,一般国道1号(桜田通り),c,2009-11-26,2009-11-27,3,8,3.2 ,1.2,66,64
42,港区東麻布2-31,35.655727,139.740875,JGD2011,都道319号環状3号線(外苑東通り),c,2009-11-10,2009-11-11,4,4,5.8 ,1.2,72,71
43,港区白金台5-10,35.641472,139.719849,JGD2011,都道418号北品川四谷線（外苑西通り）,c,2009-11-26,2009-11-27,4,4,2.8 ,1.2,73,71
44,港区西麻布3-12,35.656204,139.724091,JGD2011,都道418号環状4号線(外苑西通り),b,2009-11-10,2009-11-11,4,6,3.0 ,1.2,66,63
45,港区港南3-9,35.632515,139.751373,JGD2011,都道316号日本橋芝浦大森線(海岸通り),c,2009-11-26,2009-11-27,4,6,5.2 ,1.2,73,72
46,港区高輪2-13,35.634586,139.737762,JGD2011,一般国道15号(第一京浜),c,2009-11-26,2009-11-27,3,8,3.2 ,1.2,70,68
47,港区北青山3-3,35.668293,139.714828,JGD2011,一般国道246号(青山通り),c,2009-11-10,2009-11-11,3,8,4.5 ,1.2,70,71
48,港区西麻布3-21,35.659618,139.725067,JGD2011,都道412号霞ヶ関渋谷線(六本木通り),c,2009-11-10,2009-11-11,4,8,4.6 ,1.2,73,72
49,港区海岸3-21,35.639450,139.757339,JGD2011,高速11号台場線,C,2009-11-26,2009-11-27,2,4,9.5 ,1.2,67,64
50,港区白金4-3,35.643604,139.729599,JGD2011,芝新宿王子線,C,2009-11-26,2009-11-27,4,2,2.1 ,1.2,66,63
51,港区芝浦3-11,35.642895,139.749969,JGD2011,日本橋芝浦大森線,C,2009-11-26,2009-11-27,4,4,5.1 ,1.2,71,68
52,港区海岸1-7,35.655045,139.760864,JGD2011,日本橋芝浦大森線／高速都心環状線,C,2009-11-26,2009-11-27,4,10,5.1 ,1.2,73,71
53,港区港南3-9,35.632515,139.751373,JGD2011,日本橋芝浦大森線／高速1号羽田線,C,2009-11-26,2009-11-27,4,10,5.7 ,1.2,73,72
54,港区北青山1-1,35.673969,139.722565,JGD2011,環状3号線,A,2009-11-10,2009-11-11,4,4,4.5 ,1.2,68,65
55,港区六本木3-18,35.661671,139.737549,JGD2011,高輪麻布線／高速都心環状線,C,2009-11-10,2009-11-11,4,8,5.2 ,1.2,72,71
56,港区芝大門2-2,35.655869,139.753372,JGD2011,区道1021号線・区道1102号線,C,2009-11-10,2009-11-11,6,2,7.5 ,1.2,65,61
