一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
1,千代田区神田神保町2-15,35.695440,139.757940,JGD2011,都道３０１号（白山通り）,c,2009-06-02,2009-06-09,4,6,8.8 ,1.5,71,68
2,千代田区麹町6-2,35.685220,139.733080,JGD2011,国道２０号（新宿通り）,c,2009-06-02,2009-06-04,3,6,6.9 ,1.5,67,65
3,千代田区九段南1-1,35.693380,139.754910,JGD2011,都道４０１号（内堀通り）,b,2009-07-07,2009-07-09,4,4,1.7 ,1.5,67,64
4,千代田区飯田橋4-5,35.700680,139.747150,JGD2011,都道８号（目白通り）,c,2009-07-07,2009-07-09,4,5,4.4 ,1.5,70,68
5,千代田区平河町2-5,35.680120,139.739040,JGD2011,区道２２０号（プリンス通り）,b,2009-07-07,2009-07-09,6,2,1.9 ,1.5,65,61
6,千代田区九段南3-8,35.692750,139.742580,JGD2011,都道３０２号（靖国通り）,c,2009-09-30,2009-10-02,4,5,4.5 ,1.5,69,66
7,千代田区神田須田町1-3,35.696020,139.769290,JGD2011,都道３０２号（靖国通り）,c,2009-11-18,2009-11-20,4,6,6.0 ,1.5,71,68
8,千代田区東神田2-10,35.695620,139.780720,JGD2011,都道３０２号（靖国通り）,c,2009-09-30,2009-10-02,4,6,6.0 ,1.5,73,70
9,千代田区神田神保町1-42,35.697720,139.757800,JGD2011,都道３０１号（白山通り）,c,2009-11-18,2009-11-25,4,5,4.2 ,1.5,70,68
10,千代田区一ﾂ橋2-3,35.694150,139.758220,JGD2011,都道３０１号（白山通り）,c,2009-11-18,2009-11-20,4,5,4.5 ,1.5,69,67
11,千代田区神田神保町2-15,35.695440,139.757940,JGD2011,都道３０１号（白山通り）,c,2009-11-10,2009-11-17,4,6,8.8 ,1.5,72,69
12,千代田区神田岩本町15,35.696660,139.775020,JGD2011,国道４号（日光街道）,c,2009-11-10,2009-11-17,3,7,7.0 ,1.5,69,68
13,千代田区和泉橋出張所4階,35.697286,139.775007,JGD2011,高速１号（上野線）,c,2009-11-18,2009-11-25,2,4,18.2 ,13.6,71,69
14,千代田区神田錦町3-18,35.693200,139.761340,JGD2011,区道１０１号（千代田通り）,c,2010-02-02,2010-02-04,5,4,4.0 ,1.5,68,65
15,千代田区内神田1-1,35.689430,139.765690,JGD2011,都道４０２号（錦町有楽町線）,c,2010-02-02,2010-02-04,4,6,4.6 ,1.5,66,64
16,千代田区神田鍛冶町3-6,35.694110,139.771070,JGD2011,国道１７号（中央通り）,c,2010-02-02,2010-02-04,3,5,4.3 ,1.5,67,64
17,千代田区神田鍛冶町3-6,35.694110,139.771070,JGD2011,一般国道17号線,C,2010-02-02,2010-02-03,3,6,5.4 ,1.2,67,64
18,千代田区外神田2-5,35.699990,139.768910,JGD2011,一般国道17号線,C,2009-12-07,2009-12-08,3,4,3.0 ,1.2,66,63
19,千代田区神田司町2-11,35.693930,139.767180,JGD2011,一般都道405号　外濠環状線,C,2009-12-07,2009-12-08,4,4,3.0 ,1.2,65,62
20,千代田区神田錦町2-1,35.692370,139.763370,JGD2011,特別区道千第389号　神田警察通り,C,2009-12-07,2009-12-08,5,4,3.0 ,1.2,66,63
21,千代田区東神田1-14,35.694200,139.781820,JGD2011,特別区道千第789号,C,2009-12-07,2009-12-08,5,4,3.0 ,1.2,65,64
22,千代田区神田練塀町,35.700710,139.774030,JGD2011,特別区道千第841号,C,2009-12-07,2009-12-08,5,4,6.0 ,1.2,61,57
