一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(ｍ),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
1,千代田区神田神保町2-15,35.695442,139.757939,JGD2011,都道３０１号（白山通り）,c,2009-06-02,2009-06-09,4,6,8.8 ,1.5 ,71,68
3,千代田区九段南1-1,35.693378,139.754913,JGD2011,都道４０１号（内堀通り）,b,2009-07-07,2009-07-09,4,4,1.7 ,1.5 ,67,64
4,千代田区飯田橋4-5,35.700676,139.747147,JGD2011,都道８号（目白通り）,c,2009-07-07,2009-07-09,4,5,4.4 ,1.5 ,70,68
6,千代田区九段南3-8,35.692753,139.742584,JGD2011,都道３０２号（靖国通り）,c,2009-09-30,2009-10-02,4,5,4.5 ,1.5 ,69,66
7,千代田区神田須田町1-3,35.696018,139.769287,JGD2011,都道３０２号（靖国通り）,c,2009-11-18,2009-11-20,4,6,6.0 ,1.5 ,71,68
8,千代田区東神田2-10,35.695621,139.780716,JGD2011,都道３０２号（靖国通り）,c,2009-09-30,2009-10-02,4,6,6.0 ,1.5 ,73,70
9,千代田区神田神保町1-42,35.697716,139.757797,JGD2011,都道３０１号（白山通り）,c,2009-11-18,2009-11-25,4,5,4.2 ,1.5 ,70,68
10,千代田区一ﾂ橋2-3,35.694153,139.758224,JGD2011,都道３０１号（白山通り）,c,2009-11-18,2009-11-20,4,5,4.5 ,1.5 ,69,67
11,千代田区神田神保町2-15,35.695442,139.757939,JGD2011,都道３０１号（白山通り）,c,2009-11-10,2009-11-17,4,6,8.8 ,1.5 ,72,69
15,千代田区内神田1-1,35.689434,139.765686,JGD2011,都道４０２号（錦町有楽町線）,c,2010-02-02,2010-02-04,4,6,4.6 ,1.5 ,66,64
19,千代田区神田司町2丁目11,35.693928,139.767181,JGD2011,一般都道405号　外濠環状線,C,2009-12-07,2009-12-08,4,4,3.0 ,1.2 ,65,62
23,中央区月島4-1,35.662067,139.782181,JGD2011,都道上野月島線(清澄通り),c,2009-06-02,2009-06-05,4,7,6.0 ,1.2 ,66,64
25,中央区日本橋本町2-2,35.687996,139.775497,JGD2011,都道日本橋芝浦大森線(昭和通り),c,2009-06-09,2009-06-12,4,7,5.0 ,1.2 ,72,70
26,中央区築地6-1,35.665749,139.772690,JGD2011,都道日比谷豊洲埠頭東雲町線(晴海通り),c,2009-07-07,2009-07-10,4,6,5.0 ,1.2 ,71,70
27,中央区京橋3-11,35.674385,139.771667,JGD2011,都道日本橋芝浦大森線(昭和通り),c,2009-10-06,2009-10-09,4,10,5.0 ,1.2 ,71,70
28,中央区日本橋人形町2-36,35.685848,139.786469,JGD2011,都道東京市川線(新大橋通り),c,2009-10-13,2009-10-16,4,6,5.0 ,1.2 ,70,68
30,中央区新富2-15,35.671257,139.775208,JGD2011,都道東京市川線(新大橋通り),c,2009-11-10,2009-11-13,4,6,5.0 ,1.2 ,70,67
31,中央区晴海3-1,35.656456,139.779572,JGD2011,都道日比谷豊洲埠頭東雲町線(晴海通り),c,2009-12-08,2009-12-11,4,9,8.0 ,1.2 ,65,63
32,中央区日本橋茅場町1-14,35.680141,139.781479,JGD2011,都道東京市川線(新大橋通り),c,2010-01-19,2010-01-22,4,6,5.0 ,1.2 ,69,68
35,中央区晴海1-8,35.655556,139.781830,JGD2011,日比谷豊洲埠頭東雲町線,C,2009-11-10,2009-11-11,4,10,5.4 ,1.2 ,62,56
36,中央区日本橋本石町3-3,35.687733,139.771362,JGD2011,一般都道407号,C,2009-09-16,2009-09-17,4,4,4.9 ,1.2 ,65,61
37,中央区日本橋3-5,35.679211,139.772476,JGD2011,主要都道408号,C,2009-09-16,2009-09-17,4,8,6.5 ,1.2 ,65,61
42,港区東麻布2-31,35.655727,139.740875,JGD2011,都道319号環状3号線(外苑東通り),c,2009-11-10,2009-11-11,4,4,5.8 ,1.2 ,72,71
43,港区白金台5-10,35.641472,139.719849,JGD2011,都道418号北品川四谷線（外苑西通り）,c,2009-11-26,2009-11-27,4,4,2.8 ,1.2 ,73,71
44,港区西麻布3-12,35.656204,139.724091,JGD2011,都道418号環状4号線(外苑西通り),b,2009-11-10,2009-11-11,4,6,3.0 ,1.2 ,66,63
45,港区港南3-9,35.632515,139.751373,JGD2011,都道316号日本橋芝浦大森線(海岸通り),c,2009-11-26,2009-11-27,4,6,5.2 ,1.2 ,73,72
48,港区西麻布3-21,35.659618,139.725067,JGD2011,都道412号霞ヶ関渋谷線(六本木通り),c,2009-11-10,2009-11-11,4,8,4.6 ,1.2 ,73,72
50,港区白金4丁目3,35.643604,139.729599,JGD2011,芝新宿王子線,C,2009-11-26,2009-11-27,4,2,2.1 ,1.2 ,66,63
