一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(m),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
287,板橋区板橋2-67,35.751736,139.709290,JGD2011,国道17号(中山道）,c,2009-07-14,2009-07-17,3,6,4.0 ,1.0 ,67,65
288,板橋区高島平1-9,35.782066,139.668015,JGD2011,都道補助201号,c,2009-10-05,2009-10-08,4,6,2.0 ,1.0 ,72,69
289,板橋区双葉町42-1,35.759457,139.700028,JGD2011,都道環状7号線（環七通り）,c,2009-10-13,2009-10-16,4,4,4.0 ,1.0 ,69,68
290,板橋区蓮根3-6,35.786236,139.675888,JGD2011,都道補助202号,c,2009-10-19,2009-10-22,4,6,4.0 ,1.0 ,71,68
291,板橋区南常盤台2-8,35.756954,139.686340,JGD2011,国道254号（川越街道）,c,2009-09-01,2009-09-04,3,4,4.0 ,1.0 ,69,68
292,板橋区熊野町25-2,35.744221,139.707901,JGD2011,都道環状6号線（山手通り）／首都高５号池袋線,c,2009-07-01,2009-07-02,4,6,4.0 ,1.0 ,74,72
293,板橋区大山町13-1,35.747094,139.700047,JGD2011,国道254号（川越街道）,c,2009-09-08,2009-09-09,3,4,4.0 ,1.0 ,71,68
294,板橋区本町41-3,35.757792,139.707237,JGD2011,国道17号(中山道）／首都高５号池袋線,c,2009-09-09,2009-09-10,3,6,4.0 ,1.0 ,76,74
295,板橋区小茂根4-9,35.746487,139.675751,JGD2011,都道環状7号線（環七通り）,c,2009-07-06,2009-07-07,4,4,4.0 ,1.0 ,75,73
296,板橋区大原町6-5,35.770150,139.700783,JGD2011,国道17号(中山道）,c,2009-07-07,2009-07-08,3,4,4.0 ,1.0 ,70,69
297,板橋区東坂下2-20,35.787846,139.685287,JGD2011,国道17号(中山道）,c,2009-09-24,2009-09-25,3,4,4.0 ,1.0 ,71,70
298,板橋区小豆沢4-29,35.781399,139.696838,JGD2011,都道環状8号線（環八通り）,c,2009-09-14,2009-09-15,4,4,4.0 ,1.0 ,72,68
299,板橋区稲荷台22-4,35.762180,139.710297,JGD2011,都道環状7号線（環七通り）,c,2009-10-26,2009-10-27,4,4,3.0 ,1.0 ,76,74
300,板橋区熊野町11-2,35.741886,139.706751,JGD2011,都道環状6号（山手通り）,c,2009-07-02,2009-07-03,4,9,4.0 ,1.0 ,70,67
301,板橋区高島平6-1,35.791908,139.645660,JGD2011,首都高速5号池袋線,c,2009-09-17,2009-09-18,2,4,4.0 ,1.0 ,72,69
302,板橋区赤塚7-25,35.779480,139.649689,JGD2011,国道新大宮バイパス,b,2009-09-29,2009-09-30,3,2,4.0 ,1.0 ,67,65
303,板橋区赤塚新町3-3,35.770729,139.641541,JGD2011,国道254号（川越街道）,c,2009-09-30,2009-10-01,3,4,4.0 ,1.0 ,74,73
304,板橋区板橋4-4,35.749229,139.719070,JGD2011,一般国道17号／高速中央環状線,C,2009-11-04,2009-11-05,3,10,6.5 ,1.2,71,68
305,板橋区本町39,35.759197,139.706772,JGD2011,一般国道17号／高速5号池袋線,C,2009-11-04,2009-11-05,3,10,5.0 ,1.2,75,70
306,板橋区大和町18,35.761681,139.705078,JGD2011,一般国道17号／高速5号池袋線,C,2009-11-04,2009-11-05,3,10,5.0 ,1.2,73,72
307,板橋区志村1-13,35.775364,139.695328,JGD2011,一般国道17号,C,2009-11-04,2009-11-05,3,4,5.5 ,1.2,73,71
308,板橋区東坂下2-17,35.786636,139.685806,JGD2011,一般国道17号,C,2009-11-04,2009-11-05,3,4,5.5 ,1.2,71,70
309,板橋区赤塚1-21,35.772030,139.650757,JGD2011,一般国道17号,B,2009-11-04,2009-11-05,3,2,14.0 ,1.2,59,55
