一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(ｍ),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
14,千代田区神田錦町3-18,35.693203,139.761337,JGD2011,区道１０１号（千代田通り）,c,2010-02-02,2010-02-04,5,4,4.0 ,1.5 ,68,65
20,千代田区神田錦町2丁目1,35.692371,139.763367,JGD2011,特別区道千第389号　神田警察通り,C,2009-12-07,2009-12-08,5,4,3.0 ,1.2 ,66,63
21,千代田区東神田1丁目14,35.694202,139.781815,JGD2011,特別区道千第789号,C,2009-12-07,2009-12-08,5,4,3.0 ,1.2 ,65,64
22,千代田区神田練塀町,35.700710,139.774033,JGD2011,特別区道千第841号,C,2009-12-07,2009-12-08,5,4,6.0 ,1.2 ,61,57
38,中央区八丁堀1-9,35.677292,139.777100,JGD2011,特別区道中京第401号線,C,2009-09-16,2009-09-17,5,6,5.9 ,1.2 ,64,60
39,中央区新川2-4,35.676250,139.780197,JGD2011,特別区道中京第401号線,C,2009-09-16,2009-09-17,5,4,3.9 ,1.2 ,67,59
40,中央区明石町5-12,35.668297,139.778229,JGD2011,特別区道中京第412号線,B,2009-09-16,2009-09-17,5,4,13.8 ,1.2 ,59,56
70,新宿区新宿1-7,35.688854,139.710388,JGD2011,区道41-900(新宿通り),c,2010-02-23,2010-02-26,5,4,0.4 ,1.2 ,69,67
89,台東区小島1丁目5,35.704075,139.781601,JGD2011,特別区道台第53号(清洲橋通り),c,2010-01-26,2010-01-29,5,4,4.7 ,1.2 ,69,67
92,台東区小島1丁目5,35.704075,139.781601,JGD2011,特別区道台第53号,C,2010-01-26,2010-01-27,5,4,4.7 ,1.2 ,69,66
395,八王子市元本郷町1-3,35.662270,139.321426,JGD2011,八王子幹線一級17号線（国道20号バイパス）,c,2009-11-26,2009-11-27,5,4,3.0 ,1.2 ,72,69
440,青梅市新町8-20,35.784454,139.309372,JGD2011,市道幹12号線,b,2009-11-24,2009-11-27,5,4,4.5 ,1.2 ,66,63
