一連番号,測定地点の住所,緯度,経度,座標系,道路名,環境基準類型等,測定開始年月日,測定終了年月日,道路種別,車線数,車道端からの距離(m),地上からの高さ(ｍ),昼間等価騒音レベル(Leq)(dB),夜間等価騒音レベル(Leq)(dB)
370,江戸川区西小岩3丁目5,35.735138,139.874329,JGD2011,市川四つ木線（奥戸街道）,B,2009-12-02,2009-12-03,4,2,3.3 ,1.2 ,69,67
371,江戸川区北小岩3丁目6,35.737469,139.890579,JGD2011,市川四つ木線（蔵前橋通り）,C,2009-12-02,2009-12-03,4,4,5.7 ,1.2 ,71,68
373,江戸川区南小岩8丁目20,35.732651,139.885925,JGD2011,王子金町江戸川線（柴又街道）,C,2009-12-02,2009-12-03,4,2,2.4 ,1.2 ,69,66
374,江戸川区南小岩3丁目28,35.727451,139.887772,JGD2011,王子金町江戸川線（柴又街道）,C,2009-12-02,2009-12-03,4,2,1.3 ,1.2 ,68,66
375,江戸川区北小岩5丁目34,35.739582,139.891663,JGD2011,江戸川堤防線（岩槻通り）,A,2009-12-14,2009-12-15,4,2,1.2 ,1.2 ,69,64
376,江戸川区上篠崎2丁目25,35.711166,139.906723,JGD2011,江戸川堤防線（篠崎街道）,A,2009-12-14,2009-12-15,4,2,5.6 ,1.2 ,63,57
385,八王子市下柚木2-10,35.626877,139.382278,JGD2011,主要地方道20号線（府中相模原線）,b,2009-11-26,2009-11-27,4,4,2.7 ,1.2 ,65,59
386,八王子市中野上町1-32,35.668297,139.322601,JGD2011,主要地方道32号線（秋川街道）,c,2009-11-26,2009-11-27,4,2,1.2 ,1.2 ,68,65
387,八王子市川口町908-1,35.693042,139.279282,JGD2011,主要地方道32号線（秋川街道）,a,2009-11-26,2009-11-27,4,2,1.4 ,1.2 ,70,65
388,八王子市犬目町863,35.693054,139.303253,JGD2011,主要地方道46号線（高尾街道）,a,2009-11-26,2009-11-27,4,2,2.1 ,1.2 ,71,67
389,八王子市四谷町741-6,35.675873,139.297012,JGD2011,主要地方道46号線（高尾街道）,b,2009-11-26,2009-11-27,4,2,1.2 ,1.2 ,70,70
390,八王子市狭間町1737,35.637131,139.287140,JGD2011,主要地方道47号線（町田街道）,a,2009-11-26,2009-11-27,4,2,2.5 ,1.2 ,71,68
391,八王子市石川町2065,35.671555,139.360764,JGD2011,主要地方道59号線（八王子武蔵村山線）,b,2009-11-26,2009-11-27,4,2,2.5 ,1.2 ,67,64
392,八王子市片倉町245-1,35.643249,139.333370,JGD2011,一般都道173号線（北野街道）,a,2009-11-26,2009-11-27,4,2,2.0 ,1.2 ,69,66
393,八王子市大楽寺町539,35.670731,139.298981,JGD2011,一般都道521号線（陣馬街道）,b,2009-11-26,2009-11-27,4,2,2.1 ,1.2 ,71,67
394,八王子市西寺方町732,35.681908,139.273453,JGD2011,一般都道521号線（陣馬街道）,a,2009-11-26,2009-11-27,4,2,2.1 ,1.2 ,71,66
396,八王子市下恩方町1849-1,35.671486,139.260799,JGD2011,主要地方道61号線（山田宮の前線）,a,2009-11-26,2009-11-27,4,2,4.4 ,1.2 ,68,62
397,八王子市松木30-1,35.621272,139.389995,JGD2011,一般都道158号線（多摩ニュータウン通り）,b,2009-11-26,2009-11-27,4,4,4.9 ,1.2 ,65,62
398,八王子市下柚木341,35.628994,139.380585,JGD2011,一般都道160号線（野猿街道）,c,2009-11-26,2009-11-27,4,4,4.8 ,1.2 ,68,62
399,八王子市美山町1782,35.688110,139.250381,JGD2011,主要地方道61号線（山田宮の前線）,a,2009-11-26,2009-11-27,4,2,4.5 ,1.2 ,68,62
400,八王子市下恩方町1185-1,35.677281,139.256892,JGD2011,主要地方道61号線（山田宮の前線）,a,2009-11-26,2009-11-27,4,2,4.5 ,1.2 ,65,60
405,八王子市戸吹町1490,35.705227,139.290726,JGD2011,八王子あきる野線,A,2009-11-16,2009-11-17,4,4,11.0 ,1.2 ,52,48
406,八王子市高月町1161,35.714114,139.320218,JGD2011,瑞穂あきる野八王子線,B,2009-11-16,2009-11-17,4,2,2.5 ,1.2 ,75,70
407,八王子市小比企町1625,35.641800,139.322433,JGD2011,上館日野線,A,2009-11-19,2009-11-20,4,2,1.7 ,1.2 ,72,67
408,八王子市緑町292,35.646572,139.321854,JGD2011,八王子城山線,B,2009-11-19,2009-11-20,4,2,2.5 ,1.2 ,73,68
409,八王子市西寺方町647,35.679104,139.272369,JGD2011,上野原八王子線,A,2009-11-16,2009-11-17,4,2,1.5 ,1.2 ,71,66
413,立川市泉町786-11,35.719000,139.418720,JGD2011,都道43号線立川東大和線（芋窪街道）,a,2009-11-09,2009-11-10,4,4,6.0 ,1.5 ,66,61
414,立川市西砂町6-12,35.729572,139.372147,JGD2011,都道7号線杉並あきる野線（五日市街道）,a,2009-11-04,2009-11-05,4,2,2.0 ,1.5 ,71,68
