"年度(世帯数)","100万未満(%)","100～200万未満(%)","200～400万未満(%)","400～600万未満(%)","600～800万未満(%)","800万以上(%)","無回答(%)"
"19(527)","12.9","26.0","32.7","13.5","5.3","4.4","5.3"
"24(670)","18.3","23.6","30.8","13.3","5.8","3","5.3"
