"年齢階層","15～24歳","25～34歳","35～44歳","45～54歳","55～64歳","65歳以上"
"男性(%)","39.6","92.2","96.6","96.2","84.4","35.9"
"女性(%)","46.5","77.3","70.1","72.5","57.1","16.9"
