項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,3286,-,4947,-,726,-,35,-,1041,-,2742,-
0,0,0,0,0,調査世帯数,755,-,258,-,373,-,51,-,3,-,73,-,201,-
0,0,0,0,0,世帯人員,2.98,-,2,-,3.62,-,2.28,-,2.25,-,3.54,-,3.33,-
0,0,0,0,0,有業人員,1.3,-,0.77,-,1.61,-,1.42,-,1,-,1.4,-,2.24,-
0,0,0,0,0,世帯主平均年齢,59.3,-,66.8,-,52.7,-,68,-,39.2,-,61.1,-,51.8,-
2,2,0,0,0,生計支出,305931,-,287033,-,324503,-,234003,-,321847,-,327491,-,325656,-
2,3,0,0,0,消費支出,305922,100,287033,100,324485,100,234003,100,321847,100,327491,100,325656,100
2,4,1,0,0,食料,82147,26.9,70952,24.7,89444,27.6,58947,25.2,63739,19.8,98989,30.2,84223,25.9
2,5,1,1,0,穀類,6533,2.1,5192,1.8,7658,2.4,4632,2,5083,1.6,6748,2.1,6405,2
2,6,1,1,1,米類,1826,0.6,1513,0.5,2066,0.6,1644,0.7,-,-,1796,0.5,1526,0.5
2,6,1,1,2,パン,2883,0.9,2231,0.8,3453,1.1,1940,0.8,4343,1.3,2885,0.9,2983,0.9
2,6,1,1,3,めん類,1322,0.4,1080,0.4,1531,0.5,733,0.3,740,0.2,1502,0.5,1446,0.4
