項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,738,-,-,104,-,106,-,104,-,107,-,102,-,109,-,106,-
0,0,0,0,0,世帯人員,2.98,-,-,2.63,-,2.62,-,2.96,-,2.84,-,3.31,-,3.11,-,3.42,-
0,0,0,0,0,有業人員,1.27,-,-,1.11,-,0.88,-,1.42,-,1.31,-,1.3,-,1.36,-,1.52,-
0,0,0,0,0,世帯主平均年齢,58.1,-,-,59.7,-,63.7,-,56.5,-,59.4,-,55.1,-,57.3,-,55.1,-
2,2,0,0,0,生計支出,370168,-,4.7,121875,-,189070,-,243908,-,294487,-,360571,-,467299,-,910073,-
2,3,0,0,0,消費支出,366616,100,3.7,121875,100,189070,100,243908,100,294487,100,360571,100,467299,100,885318,100
2,4,1,0,0,食料,83163,22.7,2.5,49832,40.9,66506,35.2,73707,30.2,80486,27.3,86230,23.9,109941,23.5,115060,13
2,5,1,1,0,穀類,7545,2.1,7.9,5690,4.7,6412,3.4,6777,2.8,7768,2.6,8399,2.3,8478,1.8,9269,1
2,6,1,1,1,米類,2896,0.8,17.3,2334,1.9,2603,1.4,2579,1.1,3350,1.1,3160,0.9,2916,0.6,3316,0.4
2,6,1,1,2,パン,2696,0.7,-3,1786,1.5,2225,1.2,2328,1,2439,0.8,3140,0.9,3457,0.7,3487,0.4
2,6,1,1,3,めん類,1453,0.4,5.2,1216,1,1245,0.7,1380,0.6,1455,0.5,1599,0.4,1547,0.3,1729,0.2
2,6,1,1,4,他の穀類,501,0.1,37.6,355,0.3,339,0.2,490,0.2,524,0.2,501,0.1,558,0.1,738,0.1
2,5,1,2,0,魚介類,6453,1.8,-5.2,4202,3.4,6124,3.2,6375,2.6,6240,2.1,6219,1.7,8214,1.8,7773,0.9
2,6,1,2,1,生鮮魚介,3725,1,-8.8,2368,1.9,3551,1.9,3751,1.5,3410,1.2,3556,1,4964,1.1,4463,0.5
2,6,1,2,2,塩干魚介,1158,0.3,-7.2,710,0.6,1220,0.6,1212,0.5,1145,0.4,1185,0.3,1267,0.3,1364,0.2
2,6,1,2,3,魚肉練製品,546,0.1,8.8,434,0.4,602,0.3,464,0.2,659,0.2,517,0.1,572,0.1,569,0.1
2,6,1,2,4,他の魚介加工品,1024,0.3,5.1,689,0.6,751,0.4,948,0.4,1025,0.3,961,0.3,1412,0.3,1376,0.2
2,5,1,3,0,肉類,7037,1.9,1.8,4532,3.7,5326,2.8,6488,2.7,7008,2.4,7309,2,9561,2,9008,1
2,6,1,3,1,生鮮肉,5580,1.5,0.6,3656,3,4158,2.2,5056,2.1,5554,1.9,5811,1.6,7601,1.6,7204,0.8
2,6,1,3,2,加工肉,1457,0.4,6.7,876,0.7,1168,0.6,1433,0.6,1454,0.5,1498,0.4,1960,0.4,1804,0.2
2,5,1,4,0,乳卵類,3988,1.1,8,2578,2.1,4107,2.2,3345,1.4,4151,1.4,4003,1.1,4734,1,4976,0.6
2,6,1,4,1,牛乳,1276,0.3,-1,900,0.7,1208,0.6,1000,0.4,1521,0.5,1382,0.4,1544,0.3,1369,0.2
2,6,1,4,2,乳製品,1943,0.5,12.4,1155,0.9,2161,1.1,1681,0.7,1859,0.6,1841,0.5,2267,0.5,2628,0.3
2,6,1,4,3,卵,769,0.2,13.9,522,0.4,738,0.4,665,0.3,771,0.3,780,0.2,924,0.2,978,0.1
2,5,1,5,0,野菜・海藻,10032,2.7,-0.4,7092,5.8,8820,4.7,9385,3.8,10433,3.5,9872,2.7,12342,2.6,12241,1.4
2,6,1,5,1,生鮮野菜,6724,1.8,-2.1,4787,3.9,5793,3.1,6228,2.6,6895,2.3,6625,1.8,8561,1.8,8155,0.9
2,6,1,5,2,乾物・海藻,860,0.2,12,506,0.4,765,0.4,923,0.4,955,0.3,842,0.2,1015,0.2,1010,0.1
2,6,1,5,3,大豆加工品,1084,0.3,-7.7,844,0.7,1000,0.5,947,0.4,1160,0.4,1038,0.3,1206,0.3,1390,0.2
2,6,1,5,4,他の野菜・海藻加工品,1364,0.4,7.8,955,0.8,1262,0.7,1287,0.5,1423,0.5,1367,0.4,1560,0.3,1686,0.2
2,5,1,6,0,果物,3154,0.9,-1.6,2151,1.8,3154,1.7,2635,1.1,3124,1.1,3208,0.9,3684,0.8,4108,0.5
2,6,1,6,1,生鮮果物,2868,0.8,-2.9,2045,1.7,2985,1.6,2388,1,2819,1,2944,0.8,3273,0.7,3612,0.4
2,6,1,6,2,果物加工品,286,0.1,13.9,107,0.1,169,0.1,247,0.1,305,0.1,264,0.1,411,0.1,496,0.1
2,5,1,7,0,油脂・調味料,4354,1.2,25.9,2845,2.3,3698,2,3719,1.5,4356,1.5,4235,1.2,5693,1.2,5910,0.7
2,6,1,7,1,油脂,503,0.1,41.3,297,0.2,378,0.2,407,0.2,561,0.2,509,0.1,711,0.2,657,0.1
2,6,1,7,2,調味料,3851,1.1,24.1,2548,2.1,3320,1.8,3312,1.4,3795,1.3,3726,1,4982,1.1,5253,0.6
2,5,1,8,0,菓子類,6083,1.7,-0.4,3885,3.2,5237,2.8,5146,2.1,5743,2,6736,1.9,7430,1.6,8380,0.9
2,5,1,9,0,調理食品,9866,2.7,6.6,6418,5.3,8875,4.7,10203,4.2,8590,2.9,9761,2.7,12681,2.7,12514,1.4
2,6,1,9,1,主食的調理食品,4460,1.2,11.9,3321,2.7,4027,2.1,4261,1.7,3830,1.3,4075,1.1,6051,1.3,5645,0.6
2,6,1,9,2,他の調理食品,5406,1.5,2.5,3097,2.5,4849,2.6,5942,2.4,4760,1.6,5687,1.6,6630,1.4,6869,0.8
2,5,1,10,0,飲料,4627,1.3,9.9,2665,2.2,3144,1.7,4460,1.8,3978,1.4,4867,1.3,6057,1.3,7203,0.8
2,6,1,10,1,茶類,1401,0.4,17.4,766,0.6,905,0.5,1666,0.7,1030,0.3,1339,0.4,2085,0.4,2018,0.2
2,6,1,10,2,コーヒー・ココア,1003,0.3,13.7,502,0.4,618,0.3,914,0.4,1105,0.4,1079,0.3,979,0.2,1818,0.2
2,6,1,10,3,他の飲料,2222,0.6,4.1,1396,1.1,1621,0.9,1880,0.8,1843,0.6,2449,0.7,2994,0.6,3366,0.4
2,5,1,11,0,酒類,4171,1.1,18.6,1722,1.4,3390,1.8,3820,1.6,4676,1.6,4868,1.4,5589,1.2,5104,0.6
2,5,1,12,0,外食,15852,4.3,-6,6054,5,8218,4.3,11353,4.7,14419,4.9,16751,4.6,25477,5.5,28575,3.2
2,6,1,12,1,一般外食,15438,4.2,-6.5,5876,4.8,8047,4.3,11083,4.5,13949,4.7,16078,4.5,24973,5.3,27945,3.2
2,6,1,12,2,学校給食,414,0.1,17.3,177,0.1,171,0.1,270,0.1,470,0.2,673,0.2,504,0.1,630,0.1
2,4,2,0,0,住居,29971,8.2,8.2,4698,3.9,10120,5.4,18636,7.6,16863,5.7,19117,5.3,34092,7.3,105823,12
2,5,2,1,0,家賃地代,13410,3.7,-24.2,3851,3.2,8745,4.6,16483,6.8,15009,5.1,13336,3.7,24535,5.3,11871,1.3
