項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,398,-,620,-,1110,-,985,-,1211,-,850,-,894,-,3931,-,1573,-
0,0,0,0,0,調査世帯数,748,-,29,-,46,-,87,-,76,-,84,-,61,-,64,-,301,-,125,-
0,0,0,0,0,世帯人員,3,-,3.22,-,3.64,-,3.63,-,3.58,-,3.66,-,3.04,-,2.77,-,2.39,-,2.33,-
0,0,0,0,0,有業人員,1.3,-,1.38,-,1.44,-,1.55,-,1.48,-,1.95,-,1.85,-,1.61,-,0.76,-,0.55,-
0,0,0,0,0,世帯主平均年齢,58.5,-,31.2,-,37.2,-,42,-,47,-,52,-,57,-,61.9,-,73.7,-,80.6,-
2,2,0,0,0,生計支出,320835,-,244874,-,313887,-,311944,-,423753,-,346169,-,382925,-,336085,-,281657,-,265761,-
2,3,0,0,0,消費支出,315568,100,244874,100,313887,100,311944,100,423753,100,346169,100,382925,100,336085,100,268259,100,232282,100
2,4,1,0,0,食料,82173,26,55165,22.5,77474,24.7,88336,28.3,91348,21.6,85842,24.8,85590,22.4,95728,28.5,76662,28.6,72712,31.3
2,5,1,1,0,穀類,6636,2.1,4273,1.7,6568,2.1,6774,2.2,7692,1.8,7184,2.1,7338,1.9,7524,2.2,6061,2.3,5386,2.3
2,6,1,1,1,米類,2147,0.7,1092,0.4,1832,0.6,2171,0.7,2278,0.5,2354,0.7,2630,0.7,2361,0.7,2048,0.8,1876,0.8
2,6,1,1,2,パン,2849,0.9,1893,0.8,3029,1,2721,0.9,3491,0.8,2964,0.9,3005,0.8,3458,1,2586,1,2184,0.9
2,6,1,1,3,めん類,1320,0.4,963,0.4,1331,0.4,1374,0.4,1557,0.4,1494,0.4,1405,0.4,1407,0.4,1188,0.4,1097,0.5
2,6,1,1,4,他の穀類,320,0.1,326,0.1,377,0.1,508,0.2,366,0.1,372,0.1,299,0.1,298,0.1,238,0.1,228,0.1
2,5,1,2,0,魚介類,6549,2.1,2690,1.1,4033,1.3,5129,1.6,5539,1.3,5992,1.7,6178,1.6,7487,2.2,8029,3,8373,3.6
2,6,1,2,1,生鮮魚介,4011,1.3,1489,0.6,2391,0.8,2858,0.9,3406,0.8,3700,1.1,3533,0.9,4924,1.5,4990,1.9,5194,2.2
2,6,1,2,2,塩干魚介,1206,0.4,644,0.3,878,0.3,1088,0.3,1124,0.3,1051,0.3,1079,0.3,1163,0.3,1455,0.5,1584,0.7
2,6,1,2,3,魚肉練製品,488,0.2,251,0.1,228,0.1,363,0.1,420,0.1,506,0.1,534,0.1,494,0.1,589,0.2,566,0.2
